Model,Image,Has_Lesion,Dice,IoU,Precision,Recall,GT_Lesion_Pixels,Pred_Lesion_Pixels,IRF_Dice,IRF_IoU,IRF_Precision,IRF_Recall,SRF_Dice,SRF_IoU,SRF_Precision,SRF_Recall,PED_Dice,PED_IoU,PED_Precision,PED_Recall
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice041.png,1,0.617027254846867,0.4461600975213328,0.6618444846292948,0.5778947368421052,1900,1659,0.617027254846867,0.4461600975213328,0.6618444846292948,0.5778947368421052,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice042.png,1,0.6738647189583995,0.5081417624521073,0.6263282172373081,0.7292096219931271,1455,1694,0.6738647189583995,0.5081417624521073,0.6263282172373081,0.7292096219931271,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice043.png,1,0.5618081180811808,0.39063502245028864,0.5833333333333334,0.541814946619217,1124,1044,0.5618081180811808,0.39063502245028864,0.5833333333333334,0.541814946619217,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice045.png,1,0.37473684210526315,0.23056994818652848,0.5129682997118156,0.29519071310116085,603,347,0.37473684210526315,0.23056994818652848,0.5129682997118156,0.29519071310116085,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice046.png,1,0.549054905490549,0.3784119106699752,0.6224489795918368,0.49114331723027377,621,490,0.549054905490549,0.3784119106699752,0.6224489795918368,0.49114331723027377,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice047.png,1,0.6037735849056604,0.43243243243243246,0.5871559633027523,0.6213592233009708,927,981,0.6037735849056604,0.43243243243243246,0.5871559633027523,0.6213592233009708,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7456e703d778e17f29e42f97615f4a68_slice048.png,1,0.5443037974683544,0.3739130434782609,0.5657894736842105,0.524390243902439,82,76,0.5443037974683544,0.3739130434782609,0.5657894736842105,0.524390243902439,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice001.png,0,,,,,0,0,,,,,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice005.png,0,,,,,0,0,,,,,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice017.png,1,0.0,0.0,0.0,0.0,101,0,0.0,0.0,0.0,0.0,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice019.png,1,0.0,0.0,0.0,0.0,254,0,0.0,0.0,0.0,0.0,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice021.png,1,0.6117886178861789,0.4407027818448023,0.5788461538461539,0.6487068965517241,464,520,0.6117886178861789,0.4407027818448023,0.5788461538461539,0.6487068965517241,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice022.png,1,0.4083295608872793,0.34506503442999237,0.3861301369863014,0.4332372718539865,1165,1168,0.8166591217745586,0.6901300688599847,0.7722602739726028,0.866474543707973,0.0,0.0,0.0,0.0,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice024.png,1,0.7846482042703005,0.6517251179205266,0.7065448775975092,0.8940564672406603,1464,1735,0.8585732165206508,0.7521929824561403,0.8205741626794258,0.9002624671916011,0.7107231920199502,0.5512572533849129,0.5925155925155925,0.8878504672897196,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice026.png,1,0.6432884619480713,0.4770144927536232,0.6139009336302199,0.705145054517134,982,962,0.5835694050991501,0.412,0.639751552795031,0.5364583333333334,0.7030075187969925,0.5420289855072464,0.5880503144654088,0.8738317757009346,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice027.png,1,0.5838563105922577,0.43902857142857143,0.8119395711500974,0.5168460252763687,576,533,0.776908023483366,0.6352,0.7738791423001949,0.7799607072691552,0.39080459770114945,0.24285714285714285,0.85,0.2537313432835821,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice028.png,1,0.6666666666666666,0.5,0.8662790697674418,0.5418181818181819,275,172,0.6666666666666666,0.5,0.8662790697674418,0.5418181818181819,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice029.png,1,0.6432,0.4740566037735849,0.6547231270358306,0.6320754716981132,318,307,0.6432,0.4740566037735849,0.6547231270358306,0.6320754716981132,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice032.png,1,0.26785714285714285,0.15463917525773196,0.7894736842105263,0.16129032258064516,93,19,0.26785714285714285,0.15463917525773196,0.7894736842105263,0.16129032258064516,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_7501081e3e7577af524c6f7703d8d538_slice033.png,1,0.0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice003.png,0,,,,,0,0,,,,,,,,,,,,
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice009.png,1,0.0,0.0,0.0,0.0,32,0,,,,,,,,,0.0,0.0,0.0,0.0
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice010.png,1,0.53125,0.3617021276595745,0.6071428571428571,0.4722222222222222,72,56,,,,,,,,,0.53125,0.3617021276595745,0.6071428571428571,0.4722222222222222
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice011.png,1,0.6168831168831169,0.4460093896713615,0.5397727272727273,0.7196969696969697,132,176,,,,,,,,,0.6168831168831169,0.4460093896713615,0.5397727272727273,0.7196969696969697
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice012.png,1,0.5646123260437376,0.39335180055401664,0.5916666666666667,0.5399239543726235,263,240,,,,,,,,,0.5646123260437376,0.39335180055401664,0.5916666666666667,0.5399239543726235
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice015.png,1,0.4226932668329177,0.36609071274298055,0.4068,0.439878892733564,1177,1250,0.0,0.0,0.0,0.0,,,,,0.8453865336658354,0.7321814254859611,0.8136,0.879757785467128
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice017.png,1,0.5543009340886071,0.4663267635644167,0.6933755608339931,0.5162176574237225,2268,2150,0.21052631578947367,0.11764705882352941,0.4888888888888889,0.13414634146341464,,,,,0.8980755523877405,0.815006468305304,0.8978622327790974,0.8982889733840305
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice018.png,1,0.5902829280351822,0.4984302986927223,0.8229420470337683,0.5542636686641566,2467,2455,0.26515151515151514,0.15283842794759825,0.7608695652173914,0.16055045871559634,,,,,0.9154143409188493,0.8440221694378464,0.8850145288501453,0.9479768786127167
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice019.png,1,0.7056387444272012,0.582323276614609,0.6578254790690024,0.76508196695197,3007,3368,0.5072836332476436,0.33983926521239954,0.4444444444444444,0.590818363273453,,,,,0.9039938556067588,0.8248072880168185,0.8712065136935603,0.9393455706304868
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice021.png,1,0.48030260180995477,0.39104058911194883,0.428282078774151,0.5644196967846139,3043,3681,0.5647058823529412,0.39344262295081966,0.4423963133640553,0.7804878048780488,0.0,0.0,0.0,0.0,0.8762019230769231,0.7796791443850267,0.8424499229583975,0.912771285475793
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice023.png,1,0.5032647361414485,0.4137599163259295,0.43355815111087725,0.6184001020365789,2934,3702,0.6377473363774734,0.4681564245810056,0.49063231850117095,0.9108695652173913,0.0,0.0,0.0,0.0,0.872046872046872,0.7731233243967829,0.8100421348314607,0.9443307408923455
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice024.png,1,0.7940267730568598,0.6674805989823762,0.7249733404425487,0.8895116031574677,3224,3696,0.7050889025137952,0.5445075757575758,0.59400826446281,0.8672699849170438,,,,,0.8829646435999243,0.7904536222071767,0.8559384164222874,0.9117532213978915
nnU-Net + ECA/CBAM,RET_Spectralis_76ebaa858a59427f392d97ed4b894f6d_slice025.png,1,0.7934517706923028,0.6732397915368196,0.7139189969748245,0.9314968836869781,3533,4025,0.6768820786142572,0.5115810674723061,0.5280665280665281,0.9424860853432282,,,,,0.9100214627703483,0.8348985156013329,0.8997714658831211,0.9205076820307281
